city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2063523,Perth,AU,-31.93,115.83,01/24/20,            63.45,87,33,8.05
3728097,Les Cayes,HT,18.2,-73.75,01/24/20,            79.63,61,0,7.09
2146219,Hervey Bay,AU,-25.3,152.85,01/24/20,            80.56,88,100,3.36
5545269,Price,US,39.6,-110.81,01/24/20,            32.38,100,75,4.16
1850523,Tateyama,JP,34.98,139.87,01/24/20,            45.01,49,75,19.46
5713587,Bend,US,44.06,-121.32,01/24/20,            45.73,65,1,14.99
1261727,Nasirabad,IN,26.3,74.73,01/24/20,            51.51,35,0,4.7
470762,Vyartsilya,RU,62.18,30.69,01/24/20,            27.5,91,54,6.78
1174451,Keti Bandar,PK,24.14,67.45,01/24/20,            68.07,59,87,8.84
499025,Samoded,RU,63.61,40.51,01/24/20,            16.39,96,100,2.48
3531368,Celestun,MX,20.87,-90.4,01/24/20,            73.22,80,98,13.8
3870282,Talcahuano,CL,-36.72,-73.12,01/24/20,            75.2,50,0,18.34
645212,Naantali,FI,60.45,22.03,01/24/20,            33.76,86,44,11.41
3395998,Macau,BR,-5.12,-36.63,01/24/20,            83.3,76,84,21.27
3985604,San Luis Rio Colorado,MX,32.46,-114.78,01/24/20,            73.63,27,75,5.82
3664078,Humaita,BR,-7.51,-63.02,01/24/20,            84.29,84,94,3
5321473,Winslow,US,35.02,-110.7,01/24/20,            49.69,49,1,2.26
3995154,Nadadores,MX,27.05,-101.6,01/24/20,            64.4,52,20,6.93
1637001,Luwuk,ID,-0.95,122.79,01/24/20,            80.67,71,20,4.23
3665895,Villeta,CO,5.01,-74.47,01/24/20,            62.6,67,90,13.87
352628,Matay,EG,28.42,30.78,01/24/20,            46.45,57,0,12.71
1246294,Galle,LK,6.04,80.22,01/24/20,            77.86,83,11,9.62
2121909,Poronaysk,RU,49.22,143.12,01/24/20,            0.36,77,93,8.75
286621,Salalah,OM,17.02,54.09,01/24/20,            77,73,20,4.7
3372783,Ponta Delgada,PT,37.73,-25.67,01/24/20,            55.4,76,75,4.7
3691348,Tingo Maria,PE,-9.29,-76.01,01/24/20,            86.38,62,20,5.82
1174872,Karachi,PK,24.91,67.08,01/24/20,            57.2,58,4,6.76
